序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1072,00925,北京建设,0.41,0.0,0.0,0.06,390.60万,9.30,0.41,0.41,0.41,0.405,0,299百万港币,172百万港币,323百万港币,298百万港币
1073,00205,财讯传媒,0.02,0.0,0.0,0.13,816.00万,--,0.018000000000000002,0.017,0.018000000000000002,0.017,0,-255百万港币,-11.4百万港币,-202百万港币,-119百万港币
1074,00495,Paladin,0.21,0.0,0.0,0.0,--,15.44,0.21,0.0,0.0,0.0,0,96.97百万港币,734百万港币,-121百万港币,195百万港币
1075,00913,合一投资,0.04,0.0,0.0,0.0,--,--,0.038,0.0,0.0,0.0,0,-613百万港币,-402百万港币,146百万港币,268百万港币
1076,00904,中绿,0.02,0.0,0.0,0.14,997.38万,--,0.021,0.02,0.021,0.02,0,-1055百万人民币,-1783百万人民币,-22.74百万人民币,-243百万人民币
1077,00905,环球大通投资,0.23,0.0,0.0,0.0,--,6.16,0.233,0.0,0.0,0.0,0,26.47百万港币,-87.07百万港币,-64.05百万港币,-17.6百万港币
1078,00909,中大国际,0.42,0.0,0.0,0.0,--,--,0.425,0.0,0.0,0.0,0,-8.57百万港币,-5.9百万港币,-9.15百万港币,-8.77百万港币
1079,00238,长兴国际,0.54,0.0,0.0,0.01,13.70万,--,0.54,0.53,0.54,0.53,0,-128百万人民币,-79.63百万人民币,-78.54百万人民币,-15.49百万人民币
1080,00239,白花油,3.48,0.0,0.0,0.0,--,10.58,3.48,0.0,0.0,0.0,0,114百万港币,74.73百万港币,74.61百万港币,159百万港币
1081,03800,保利协鑫能源,0.66,0.0,0.0,0.18,3344.11万,5.14,0.66,0.66,0.67,0.65,0,2912百万人民币,2844百万人民币,3475百万人民币,2795百万港币
1082,00641,中国恒天立信国际,1.54,0.0,0.0,0.0,--,6.03,1.54,0.0,0.0,0.0,0,351百万港币,151百万港币,211百万港币,151百万港币
1083,00643,恒富控股,0.56,0.0,0.0,0.0,--,--,0.56,0.0,0.0,0.0,0,-18.77百万港币,-45.35百万港币,-37.51百万港币,-14.23百万港币
1084,00645,安域亚洲,0.85,0.0,0.0,0.0,--,--,0.85,0.0,0.0,0.0,-1.8百万美元,1.11百万美元,-13.4百万美元,1.69百万美元,0
1085,00640,星谦发展,0.69,0.0,0.0,0.02,13.60万,20.54,0.69,0.0,0.0,0.0,0,42.07百万港币,36.6百万港币,53.88百万港币,52.81百万港币
1086,00287,永发置业,14.4,0.0,0.0,0.0,--,1.59,14.4,0.0,0.0,0.0,364百万港币,53.33百万港币,6.05百万港币,75.28百万港币,0
1087,00577,南岸集团,0.76,0.0,0.0,0.08,79.50万,--,0.76,0.75,0.77,0.75,-1570百万港币,-32.45百万港币,-210百万港币,25.94百万港币,0
1088,03399,粤运交通,4.48,0.0,0.0,0.04,8.00万,7.19,4.48,4.47,4.5,4.46,0,695百万人民币,406百万人民币,418百万人民币,301百万人民币
1089,00633,中国全通,0.74,0.0,0.0,0.29,547.80万,5.28,0.74,0.74,0.75,0.72,0,360百万人民币,257百万人民币,529百万人民币,367百万人民币
1090,00637,利记,0.56,0.0,0.0,0.17,142.80万,5.15,0.56,0.55,0.56,0.55,102百万港币,48.04百万港币,-109百万港币,36.48百万港币,0
1091,06816,瑞港建设,1.14,0.0,0.0,0.0,--,14.14,1.14,0.0,0.0,0.0,0,71.29百万港币,84.04百万港币,0,0
1092,00648,中国华仁医疗,0.38,0.0,0.0,0.0,--,--,0.38,0.0,0.0,0.0,0,0,-338百万港币,-359百万港币,-39.5百万港币
1093,00665,海通国际,3.52,0.0,0.0,0.22,1229.31万,6.23,3.52,3.52,3.52,3.36,0,3572百万港币,1992百万港币,2986百万港币,1216百万港币
1094,00666,新工投资,0.21,0.0,0.0,0.0,--,5.31,0.215,0.0,0.0,0.0,0,167百万港币,-73.59百万港币,-104百万港币,88.26百万港币
1095,03678,弘业期货,1.12,0.0,0.0,0.0,--,8.33,1.12,0.0,0.0,0.0,0,131百万人民币,106百万人民币,90.02百万人民币,0
1096,00262,迪臣发展国际,0.28,0.0,0.0,0.0,--,5.62,0.275,0.0,0.0,0.0,63.23百万港币,38.19百万港币,220百万港币,144百万港币,0
1097,00536,贸易通,1.22,0.0,0.0,0.04,34.20万,13.12,1.22,1.22,1.22,1.21,0,94.17百万港币,91.93百万港币,85.98百万港币,83.65百万港币
1098,03398,华鼎控股,0.35,0.0,0.0,0.01,26.40万,4.91,0.35,0.35,0.35,0.345,0,158百万港币,124百万港币,-13.05百万港币,-139百万港币
1099,00266,天德地产,9.44,0.0,0.0,0.0,--,41.04,9.44,0.0,0.0,0.0,276百万港币,-76.06百万港币,969百万港币,1416百万港币,0
1100,00655,香港华人有限公司,1.22,0.0,0.0,0.0,2.60万,7.44,1.22,1.28,1.28,1.22,330百万港币,49.8百万港币,278百万港币,408百万港币,0
1101,00657,环科国际,0.14,0.0,0.0,0.0,--,--,0.14,0.0,0.0,0.0,-8.95百万港币,-9.01百万港币,-9.3百万港币,-4.71百万港币,0
1102,06822,科劲国际,1.26,0.0,0.0,0.01,10.00万,6.15,1.26,1.26,1.26,1.26,0,179百万港币,162百万港币,194百万港币,117百万港币
1103,00628,国美金融科技,0.84,0.0,0.0,0.0,960,87.58,0.84,0.0,0.0,0.0,0,24.91百万人民币,6.46百万港币,-32.08百万港币,0
1104,00591,中国高精密,1.22,0.0,0.0,0.0,--,--,1.22,0.0,0.0,0.0,0,-90.78百万港币,-95.88百万人民币,-62.59百万人民币,-15.85百万人民币
1105,00550,KK文化,1.55,0.0,0.0,0.0,6000,--,1.55,1.55,1.55,1.55,0,-81.53百万港币,-16.21百万港币,-19.81百万港币,120百万港币
1106,00599,怡邦行控股,0.53,0.0,0.0,0.01,4.00万,7.20,0.53,0.53,0.53,0.53,54.38百万港币,50.79百万港币,89.68百万港币,81.43百万港币,0
1107,00600,中国基建投资,0.05,0.0,0.0,0.0,--,--,0.048,0.0,0.0,0.0,0,-13.6百万港币,-16.24百万港币,-5.76百万港币,15.31百万港币
1108,00589,宝国国际,3.92,0.0,0.0,0.16,87.90万,32.70,3.92,3.92,3.93,3.91,0,161百万人民币,128百万人民币,-23.42百万人民币,170百万人民币
1109,00588,北京北辰实业股份,2.56,0.0,0.0,0.35,248.00万,10.24,2.56,2.53,2.61,2.49,0,3425百万人民币,1855百万人民币,1730百万人民币,1904百万人民币
1110,00278,华厦置业,8.5,0.0,0.0,0.0,--,3.97,8.5,0.0,0.0,0.0,24.65百万港币,21.95百万港币,18.57百万港币,18.33百万港币,0
1111,00277,太兴置业,4.22,0.0,0.0,0.0,--,11.78,4.22,0.0,0.0,0.0,123百万港币,-6.95百万港币,-40.55百万港币,252百万港币,0
1112,03663,协众国际控股,1.48,0.0,0.0,0.0,--,--,1.48,0.0,0.0,0.0,0,-15.14百万人民币,61.49百万人民币,69.21百万人民币,65.13百万人民币
1113,00587,华瀚健康,0.53,0.0,0.0,0.0,--,5.00,0.53,0.0,0.0,0.0,0,0,0,1059百万港币,499百万港币
1114,00601,权智(国际),0.48,0.0,0.0,0.05,331.00万,17.65,0.48,0.48,0.48,0.475,0,239百万港币,-31百万港币,-111百万港币,0
1115,00602,佳华百货控股,0.28,0.0,0.0,0.06,63.50万,7.43,0.285,0.28,0.29,0.275,0,59.86百万人民币,64.64百万人民币,65.49百万人民币,80.02百万人民币
1116,00613,YugangInt'l,0.21,0.0,0.0,0.02,199.60万,15.40,0.21100000000000002,0.21,0.213,0.21,0,143百万港币,26.03百万港币,162百万港币,296百万港币
1117,00286,同佳健康,0.87,0.0,0.0,0.2,612.20万,1740.00,0.87,0.87,0.88,0.86,0,47.28百万港币,32.88百万港币,49.05百万港币,40百万港币
1118,00272,瑞安房地产,1.74,0.0,0.0,0.17,1364.51万,6.98,1.74,1.74,1.75,1.69,0,7190百万人民币,5272百万人民币,1000百万人民币,2560百万人民币
1119,00578,融信资源,0.07,0.0,0.0,0.02,22.00万,--,0.073,0.073,0.073,0.073,0,-197百万港币,-264百万港币,-385百万港币,-378百万港币
1120,00611,中国核能科技,0.95,0.0,0.0,0.21,317.40万,10.02,0.95,0.95,0.96,0.93,0,148百万港币,95.56百万港币,22.09百万港币,-64百万港币
1121,00274,中富资源,0.02,0.0,0.0,0.01,226.00万,--,0.017,0.017,0.017,0.017,0,-17.42百万港币,22.9百万港币,-13.88百万港币,-915百万港币
1122,00604,深圳控股,2.76,0.0,0.0,0.09,746.91万,4.34,2.76,2.76,2.8,2.73,0,7665百万港币,8293百万港币,6511百万港币,5855百万港币
1123,00606,中国粮油控股,3.04,0.0,0.0,0.09,452.75万,5.25,3.04,3.04,3.04,2.95,0,1862百万港币,1785百万港币,-53.81百万港币,-338百万港币
1124,00608,达利国际,1.88,0.0,0.0,0.04,13.60万,13.43,1.88,1.85,1.89,1.85,0,88.6百万港币,85.23百万港币,57.01百万港币,123百万港币
1125,00261,中建置地,0.01,0.0,0.0,0.0,224.00万,--,0.01,0.0,0.0,0.0,0,-183百万港币,-154百万港币,-76百万港币,-43百万港币
1126,00672,众安房产,0.41,0.0,0.0,0.02,91.10万,3.42,0.41,0.4,0.415,0.4,0,1302百万人民币,249百万人民币,1009百万人民币,639百万人民币
1127,00718,太和控股,0.8,0.0,0.0,0.05,240.00万,13.20,0.8,0.8,0.81,0.79,0,350百万港币,-159百万港币,-74.75百万港币,0
