序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
177,01868,同方友友,0.78,2.63,0.02,0.02,48.50万,11.37,0.76,0.76,0.78,0.75,0,126百万,18.8百万,9.48百万,-196百万
178,00343,文化传信,0.39,2.63,0.01,0.05,70.50万,--,0.38,0.39,0.395,0.39,-57.78百万,-49.84百万,-61.2百万,-117百万,0
179,01979,天宝集团,0.78,2.63,0.02,0.06,58.80万,4.94,0.76,0.76,0.78,0.74,0,207百万,268百万,156百万,0
180,00068,利兴发展,5.9,2.61,0.15,0.01,1.50万,--,5.75,5.9,5.9,5.9,0,-19.36百万,-499百万,13.5百万,70.82百万
181,01185,中国航天万源,0.24,2.59,0.01,0.02,91.80万,--,0.23199999999999998,0.23199999999999998,0.255,0.231,0,-238百万,91.69百万,74.85百万,94.28百万
182,01632,膳源控股,9.15,2.58,0.23,0.37,74.20万,--,8.92,8.91,9.5,8.91,-1.75百万,-6.15百万,0,0,0
183,00998,中信银行,4.78,2.58,0.12,0.41,6136.88万,3.83,4.66,4.71,4.84,4.65,0,157231百万,154159百万,145545百万,124839百万
184,03808,中国重汽,12.78,2.57,0.32,0.51,1402.99万,9.78,12.46,12.46,12.78,11.74,0,4272百万,1113百万,772百万,1154百万
185,00902,华能国际电力股份,6.01,2.56,0.15,1.65,7762.64万,15.03,5.86,5.87,6.06,5.83,0,9183百万,18378百万,29143百万,25275百万
186,01199,中远海运港口,7.27,2.54,0.18,0.09,282.54万,10.25,7.09,7.1,7.27,7.05,0,453百万,94.64百万,306百万,227百万
187,00393,旭日企业,0.81,2.53,0.02,0.0,1.20万,14.04,0.79,0.81,0.81,0.81,0,102百万,44.98百万,50.34百万,139百万
188,01988,民生银行,5.67,2.53,0.14,0.5,4163.89万,2.77,5.53,5.53,5.74,5.46,0,141947百万,154051百万,153751百万,135007百万
189,00086,新鸿基公司,4.5,2.51,0.11,0.07,155.70万,5.36,4.39,4.39,4.53,4.34,0,2609百万,1502百万,4232百万,2157百万
190,02310,申基国际,0.41,2.5,0.01,0.01,5.60万,--,0.4,0.4,0.4,0.375,0,-17.83百万,-72.5百万,-74.03百万,-94.05百万
191,01308,海丰国际,8.22,2.49,0.2,0.03,69.40万,14.71,8.02,7.98,8.25,7.98,0,198百万,131百万,148百万,125百万
192,01622,力高集团,4.95,2.48,0.12,0.14,482.40万,17.00,4.83,4.84,4.98,4.51,0,1541百万,945百万,814百万,694百万
193,00012,恒基地产,41.5,2.47,1.0,0.07,308.99万,5.45,40.5,40.8,41.65,40.55,0,23796百万,17543百万,15880百万,12494百万
194,00557,天元医疗,1.25,2.46,0.03,0.0,1.06万,32.64,1.22,1.2,1.2,1.2,0,2.62百万,-69.4百万,-48百万,-24.27百万
195,01112,H&H国际控股,58.35,2.46,1.4,0.11,71.33万,32.88,56.95,57.5,58.5,55.7,0,1369百万,1457百万,504百万,1118百万
196,01658,邮储银行,5.01,2.45,0.12,0.2,3884.64万,5.01,4.89,4.94,5.09,4.85,0,224864百万,189602百万,0,0
197,01509,和美医疗,2.1,2.44,0.05,0.24,184.60万,48.52,2.05,2.04,2.12,1.99,0,33.95百万,124百万,142百万,0
198,00234,新世纪集团,0.13,2.4,0.0,0.0,8000,4.98,0.125,0.128,0.128,0.128,199百万,106百万,-21.81百万,115百万,0
199,00939,建设银行,6.86,2.39,0.16,0.22,5.25亿,4.58,6.7,6.69,6.94,6.61,0,594031百万,559860百万,586687百万,556740百万
200,00392,北京控股,38.65,2.38,0.9,0.15,189.15万,7.09,37.75,37.75,39.0,37.25,0,3774百万,4039百万,3232百万,3331百万
201,01991,大洋集团,0.43,2.38,0.01,0.15,130.40万,113.16,0.42,0.46,0.46,0.405,0,-74.1百万,-73.02百万,-159百万,-221百万
202,02277,华融投资股份,0.43,2.38,0.01,0.01,9.00万,2.76,0.42,0.405,0.42,0.405,0,394百万,52.09百万,81.93百万,0
203,00887,英皇钟表珠宝,0.43,2.38,0.01,0.09,603.00万,18.70,0.42,0.42,0.43,0.415,0,173百万,-59.84百万,-117百万,169百万
204,00966,中国太平,26.0,2.36,0.6,0.45,1602.65万,15.89,25.4,25.2,26.25,24.4,0,,,,
205,00579,京能清洁能源,1.75,2.34,0.04,0.11,310.20万,2.65,1.71,1.69,1.75,1.67,0,3447百万,3354百万,3373百万,2330百万
206,01171,兖州煤业股份,9.19,2.34,0.21,1.89,3682.20万,4.05,8.98,9.0,9.22,8.52,0,11278百万,2695百万,622百万,1600百万
207,01798,大唐新能源,1.32,2.33,0.03,0.08,203.90万,14.23,1.29,1.29,1.33,1.25,0,2868百万,2115百万,2084百万,2124百万
208,01125,丽丰控股,11.5,2.31,0.26,0.02,5.45万,5.22,11.24,11.5,11.52,11.5,0,1209百万,1274百万,1623百万,1650百万
209,01680,澳门励骏,1.33,2.31,0.03,0.08,495.00万,--,1.3,1.27,1.34,1.27,0,-434百万,-257百万,-273百万,474百万
210,00488,丽新发展,13.34,2.3,0.3,0.02,10.59万,3.30,13.04,13.42,13.42,13.06,0,1794百万,628百万,1864百万,1477百万
211,01588,畅捷通,11.6,2.29,0.26,0.07,3.72万,8.84,11.34,11.26,11.66,11.26,0,243百万,-137百万,-88.82百万,106百万
212,01591,汛和集团,0.13,2.29,0.0,0.17,666.00万,95.71,0.131,0.128,0.134,0.125,6.56百万,24.08百万,0,0,0
213,00926,碧生源,0.45,2.27,0.01,0.06,91.90万,139.02,0.44,0.45,0.45,0.435,0,-7.18百万,-70.67百万,64.44百万,54.51百万
214,06860,指尖悦动,2.25,2.27,0.05,0.79,1583.04万,15.59,2.2,2.21,2.29,2.13,0,0,0,0,0
215,03816,KFM金德,0.45,2.27,0.01,0.0,1.20万,7.71,0.44,0.45,0.45,0.45,39.42百万,-4.42百万,-29.32百万,51.58百万,0
216,01150,米兰站,0.18,2.27,0.0,0.0,1.00万,--,0.17600000000000002,0.172,0.172,0.172,0,-81.29百万,-74.07百万,-47.79百万,-53.44百万
217,01247,米格国际控股,0.18,2.27,0.0,0.01,13.80万,--,0.17600000000000002,0.183,0.198,0.18,0,-150百万,-130百万,75.03百万,197百万
218,01288,农业银行,3.62,2.26,0.08,0.67,2.06亿,4.26,3.54,3.53,3.68,3.49,0,542898百万,510128百万,540862百万,524126百万
219,01071,华电国际电力股份,3.66,2.23,0.08,1.48,2542.88万,10.46,3.58,3.58,3.67,3.53,0,4379百万,9879百万,17988百万,14723百万
220,00651,中海重工,0.05,2.22,0.0,0.01,158.50万,--,0.045,0.045,0.046,0.044000000000000004,0,-624百万,-366百万,-527百万,-634百万
221,00725,恒都集团,1.38,2.22,0.03,0.02,4.20万,14.23,1.35,1.38,1.38,1.38,0,26.46百万,19.87百万,16.18百万,26.95百万
222,01369,五洲国际,0.05,2.22,0.0,0.45,2247.40万,--,0.045,0.046,0.048,0.044000000000000004,0,-281百万,534百万,-345百万,843百万
223,00509,世纪阳光,0.23,2.2,0.01,0.04,182.50万,4.09,0.22699999999999998,0.22699999999999998,0.23,0.223,0,406百万,457百万,497百万,468百万
224,00133,招商局中国基金,11.18,2.19,0.24,0.17,26.20万,1.85,10.94,10.9,11.26,10.86,0,169百万,-21.74百万,58.25百万,199百万
225,01528,红星美凯龙,9.32,2.19,0.2,0.39,261.87万,6.21,9.12,9.2,9.41,9.19,0,5916百万,5727百万,5942百万,0
226,00857,中国石油股份,5.64,2.17,0.12,0.64,1.35亿,18.80,5.52,5.59,5.7,5.52,0,67722百万,60635百万,79252百万,169833百万
227,00833,华讯,1.88,2.17,0.04,0.29,278.02万,16.03,1.84,1.85,1.9,1.84,0,173百万,98.44百万,63.45百万,67.25百万
228,01202,成都普天电缆股份,0.95,2.15,0.02,0.1,16.00万,9.90,0.93,0.9,0.95,0.89,0,95.3百万,11.04百万,-46.65百万,-46.99百万
229,00717,英皇证券,0.47,2.15,0.01,0.03,195.00万,4.31,0.465,0.465,0.475,0.46,0,794百万,634百万,520百万,269百万
230,02186,绿叶制药,8.6,2.14,0.18,0.32,1048.58万,23.81,8.42,8.5,8.61,8.33,0,1116百万,975百万,898百万,726百万
231,01302,先健科技,2.39,2.14,0.05,0.09,372.60万,52.46,2.34,2.36,2.39,2.31,0,192百万,108百万,94.45百万,49.78百万
232,02868,首创置业,3.36,2.13,0.07,0.34,347.20万,4.18,3.29,3.29,3.36,3.16,0,3835百万,3829百万,3609百万,2875百万
233,00956,新天绿色能源,2.4,2.13,0.05,0.43,789.30万,13.33,2.35,2.32,2.41,2.3,0,1764百万,1228百万,710百万,1093百万
234,03339,中国龙工,3.37,2.12,0.07,0.23,996.50万,11.71,3.3,3.34,3.41,3.25,0,1424百万,559百万,212百万,600百万
235,00697,ShougangInt'l,0.19,2.12,0.0,0.03,603.80万,34.46,0.18899999999999997,0.19,0.193,0.187,0,57.29百万,-427百万,-3894百万,-2042百万
236,00167,IDTInt'l,0.14,2.11,0.0,0.02,40.20万,--,0.142,0.14300000000000002,0.145,0.14300000000000002,0,-85.7百万,-62百万,-57.2百万,0
237,06868,天福,4.85,2.1,0.1,0.01,15.30万,20.23,4.75,4.7,4.85,4.7,0,333百万,242百万,263百万,362百万
238,00083,信和置业,12.68,2.09,0.26,0.04,260.05万,3.87,12.42,12.56,12.72,12.46,0,10614百万,7753百万,10621百万,10324百万
239,02688,新奥能源,87.95,2.09,1.8,0.45,486.26万,28.32,86.15,86.8,92.35,85.85,0,5190百万,4195百万,4027百万,4747百万
240,01469,结好金融,0.98,2.08,0.02,0.04,92.80万,8.91,0.96,0.96,0.98,0.95,340百万,331百万,414百万,0,0
241,01932,中漆集团,0.49,2.08,0.01,0.05,49.20万,24.62,0.48,0.475,0.49,0.475,0,23.6百万,0,0,0
242,00708,恒大健康,9.31,2.08,0.19,0.08,692.00万,218.13,9.12,9.1,9.58,8.93,0,640百万,88.09百万,117百万,0
243,01133,哈尔滨电气,2.47,2.07,0.05,0.12,82.80万,14.72,2.42,2.4,2.48,2.37,0,0,701百万,279百万,365百万
244,00552,中国通信服务,4.94,2.07,0.1,0.17,395.70万,10.51,4.84,4.83,4.97,4.74,0,3232百万,3056百万,2825百万,2631百万
245,02266,黎氏企业,0.99,2.06,0.02,0.02,6.80万,--,0.97,0.97,0.99,0.91,0,0,0,0,0
246,01238,宝龙地产,3.99,2.05,0.08,0.07,277.30万,3.96,3.91,3.93,3.99,3.8,0,6523百万,5072百万,4054百万,2190百万
247,02006,锦江酒店,3.02,2.03,0.06,0.25,350.80万,18.43,2.96,2.94,3.04,2.9,0,2178百万,2170百万,2010百万,1568百万
248,02223,卡撒天娇,1.01,2.02,0.02,0.01,3.20万,9.66,0.99,1.01,1.01,0.86,0,33.14百万,14.59百万,-14.39百万,20.13百万
