,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
190,000413,东旭光电,1.73,2.82,4.48,,元器件,河北,31.2,40.95,57.3,4869413.0,3477729.5,899441.81,1520815.5,2.65,0.21,4.64,1.61,19960925,256585.77,0.45,84.64,27.97,24.54,13.04,349000.0
191,000415,渤海金控,1.28,3.31,5.99,,多元金融,新疆,14.46,31.16,61.85,31088822.0,5765114.0,18376382.0,1722281.25,2.78,0.303,5.05,1.16,19960716,717891.13,1.16,61.4,30.09,38.62,6.65,103831.0
192,000423,东阿阿胶,6.74,10.41,13.83,20.76,中成药,山东,19.92,6.54,6.54,1237603.0,964033.88,170964.7,69067.68,1.06,3.1260000000000003,15.05,4.14,19960729,797769.81,12.2,16.7,10.36,65.05,27.73,84600.0
193,000425,徐工机械,0.97,2.63,3.26,,工程机械,江苏,26.08,69.94,70.08,5059979.5,3723039.5,721926.5,334410.5,0.48,0.111,3.02,1.28,19960828,996835.38,1.42,78.2,370.39,20.02,3.61,248494.0
194,000503,海虹控股,-2.81,-6.01,-12.26,,医疗保健,海南,0.0,8.99,8.99,142492.81,100357.18,4646.1,2317.08,0.03,-0.172,1.4,30.65,19921130,44383.25,0.49,-23.99,-81.4,10.04,-137.75,51171.0
195,000538,云南白药,4.4,9.05,14.88,,中成药,云南,28.84,10.41,10.41,2668540.0,2414405.0,175079.09,124721.57,1.2,2.501,16.8,5.72,19931215,1435950.5,13.79,10.56,10.39,31.82,14.47,41428.0
196,000540,中天金融,5.88,9.18,10.53,12.95,多元金融,贵州,16.59,43.24,46.98,10850483.0,5965951.5,320931.69,355733.66,0.76,0.44299999999999995,3.42,2.15,19940202,700483.13,1.49,-18.84,-29.18,39.23,13.18,227184.0
197,000559,万向钱潮,5.09,9.66,13.04,17.45,汽车配件,浙江,26.89,27.53,27.53,1152936.38,697625.31,303409.69,25041.42,0.09,0.32,1.83,4.69,19940110,162499.84,0.59,3.42,5.72,20.67,7.9,129900.0
198,000568,泸州老窖,6.75,13.16,13.64,,白酒,四川,33.74,14.02,14.65,1797156.75,1334952.25,108417.86,354351.97,2.42,1.42,10.0,6.14,19940509,802914.69,5.48,23.03,33.11,72.34,27.44,61617.0
199,000623,吉林敖东,2.17,4.7,6.84,9.17,中成药,吉林,12.78,10.95,11.63,2185459.0,307417.34,208829.52,406796.47,3.5,1.6030000000000002,17.46,1.17,19961028,1298273.63,11.17,8.77,11.82,70.75,62.6,91300.0
200,000625,长安汽车,5.22,10.24,12.53,,汽车整车,重庆,6.86,37.61,48.03,10437897.0,6218786.0,1613902.75,511049.41,1.06,1.21,9.91,1.12,19970610,3385743.5,7.05,-4.06,-24.92,11.78,11.3,171000.0
201,000627,天茂集团,0.79,4.64,6.0,,保险,湖北,33.31,13.54,49.41,12956284.0,2028551.75,50415.7,693681.13,1.4,0.2,3.28,2.3,19961112,265504.19,0.54,5.24,-0.47,15.05,226.14,98700.0
