,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3387,603516,淳中科技,,19.03,,,通信设备,北京,57.63,0.23,0.94,29737.55,0.0,0.0,0.0,0.0,0.7709999999999999,3.89,15.22,20180202.0,0.0,0.0,0.0,0.0,0.0,38.54,25503.0
3388,603103,横店影视,,18.73,15.66,16.74,影视音像,浙江,42.33,0.53,4.53,304699.53,145542.88,76836.18,75497.65,1.67,0.8,4.36,7.09,20171012.0,67660.2,1.49,10.38,-7.16,23.98,13.13,30500.0
3389,603305,旭升股份,,18.13,14.85,19.33,汽车配件,浙江,58.02,0.42,4.01,143070.17,70827.36,50639.43,38509.6,0.96,0.59,2.87,11.22,20170710.0,29845.59,0.75,29.84,9.09,44.43,30.06,15808.0
3390,300709,精研科技,,17.88,25.03,,元器件,江苏,34.8,0.22,0.88,104817.97,51288.05,36566.43,11419.26,1.3,1.78,14.44,4.3,20171019.0,26389.69,3.0,0.0,0.0,40.49,17.04,16000.0
3391,300723,一品红,,17.53,24.83,,化学制药,广东,49.46,0.4,1.6,80522.63,45895.98,15955.37,5294.9,0.33,0.688,7.01,6.47,20171116.0,26448.46,1.65,0.0,0.0,55.82,10.61,21762.0
3392,002928,华夏航空,,17.47,,32.53,空运,贵州,38.69,0.41,4.0,548565.06,172783.7,292229.34,23364.48,0.58,0.934,3.19,11.33,20180302.0,49540.18,1.24,35.17,8.23,21.53,10.85,78828.0
3393,603970,中农立华,,17.44,19.21,,其他商业,北京,42.29,0.33,1.33,239227.95,214653.55,5559.5,540.77,0.04,0.544,3.78,8.12,20171116.0,21996.17,1.65,0.0,0.0,11.33,2.51,35402.0
3394,603156,养元饮品,,16.71,23.93,31.48,软饮料,河北,17.76,0.43,5.38,1119011.13,913437.13,66053.61,0.0,0.0,4.67,13.64,5.59,20180212.0,655104.75,12.18,-13.03,-15.72,47.85,29.84,41616.0
3395,603963,大理药业,,16.61,8.52,,化学制药,云南,63.89,0.25,1.0,62622.2,44925.3,10986.69,23749.92,2.37,0.52,4.58,7.26,20170922.0,9541.13,0.95,0.0,0.0,63.85,20.0,27488.0
3396,300701,森霸股份,,16.35,10.22,13.74,元器件,河南,73.94,0.2,0.8,45834.53,39986.73,4519.26,22313.09,2.79,0.92,5.46,10.16,20170915.0,11183.82,1.4,14.14,28.2,53.57,33.85,14055.0
3397,300731,科创新源,,16.15,21.12,,橡胶,深圳,55.56,0.22,0.87,26369.38,23502.03,1737.75,9434.82,1.08,0.532,3.37,11.7,20171208.0,5390.14,0.62,0.0,0.0,48.54,25.94,45956.0
3398,603458,勘设股份,,15.75,13.55,,建筑施工,贵州,22.39,0.31,1.24,317567.16,266538.56,29257.3,81255.53,6.54,2.64,15.13,4.05,20170809.0,87158.32,7.02,0.0,0.0,44.57,19.69,16722.0
3399,603458,勘设股份,,15.75,13.55,,建筑施工,贵州,22.39,0.31,1.24,317567.16,266538.56,29257.3,81255.53,6.54,2.64,15.13,4.05,20170809.0,87158.32,7.02,0.0,0.0,44.57,19.69,16722.0
3400,300679,电连技术,,15.54,9.1,,元器件,深圳,28.35,0.3,1.2,329440.88,281085.16,34557.31,225825.5,18.82,2.84,25.92,3.34,20170731.0,59821.28,4.99,0.0,0.0,47.23,26.21,23866.0
3401,002903,宇环数控,,15.36,20.49,,机床制造,湖南,50.19,0.25,1.0,46765.4,35099.05,5475.37,4677.06,0.47,0.9,4.38,10.29,20171013.0,17691.53,1.77,0.0,0.0,48.77,33.79,51373.0
3402,603685,晨丰科技,,14.89,21.37,,电气设备,浙江,26.63,0.25,1.0,53617.93,35750.23,14483.5,15361.94,1.54,0.885,5.52,5.69,20171127.0,17650.64,1.77,0.0,0.0,27.61,15.24,27290.0
3403,603506,南都物业,,14.6,,,房产服务,浙江,43.44,0.2,0.79,72642.0,0.0,0.0,0.0,0.0,0.637,4.35,8.48,20180201.0,0.0,0.0,0.0,0.0,0.0,8.71,18531.0
3404,603059,倍加洁,,14.55,,25.38,家居用品,江苏,49.66,0.2,0.8,57712.18,27994.39,11581.01,10501.5,1.31,1.082,5.68,9.46,20180302.0,16202.45,2.03,6.92,27.64,26.26,12.94,19999.0
3405,300624,万兴科技,,14.51,,,软件服务,西藏,158.29,0.2,0.8,27383.02,8821.16,0.0,0.0,0.0,0.657,4.28,32.39,20180118.0,0.0,0.0,0.0,0.0,0.0,15.58,40002.0
3406,603895,天永智能,,14.21,,,专用机械,上海,60.0,0.19,0.77,62081.06,0.0,0.0,0.0,0.0,0.653,4.84,10.8,20180122.0,0.0,0.0,0.0,0.0,0.0,16.74,19298.0
3407,603619,中曼石油,,14.14,13.63,,石油开采,上海,33.27,0.4,4.0,400210.31,244724.47,120008.07,102862.55,2.57,0.843,6.18,6.05,20171117.0,96456.88,2.41,0.0,0.0,48.92,25.31,38847.0
3408,603661,恒林股份,,13.79,20.16,,家居用品,浙江,24.72,0.25,1.0,124673.0,74874.81,29997.81,1315.32,0.13,1.636,10.82,4.98,20171121.0,68554.25,6.86,0.0,0.0,27.36,11.47,26922.0
